ID,Направление,Запрос,Источник запроса,Регион,Тип частотности,Частотность,Период данных,Дата проверки,Намерение,Тип клиента,Предполагаемая страница,Статус,Причина решения,Источник URL,Комментарий
"GEN-001","Общая 3D-печать","3д печать на заказ","Wordstat seed","Москва и область","Широкая; все устройства","1305","03.08.2026-01.09.2026","Смешанное коммерческое","Смешанный","/","Проверить","Заметный спрос, но много нерелевантных вложенных намерений","https://wordstat.yandex.ru/?region=1&view=table&words=3д%20печать%20на%20заказ","Не считать объёмом B2B-лидов"
"GEN-002","Общая 3D-печать","3д печать на заказ в москве","Wordstat вложенная фраза","Москва и область","Широкая; все устройства","328","03.08.2026-01.09.2026","Коммерческое","Смешанный","/","Включить предварительно","Региональная коммерческая формулировка; нужен фильтр B2B","https://wordstat.yandex.ru/?region=1&view=table&words=3д%20печать%20на%20заказ","SERP подтверждает услуги и агрегаторы"
"GEN-003","Общая 3D-печать","печать на 3д принтере на заказ","Wordstat вложенная фраза","Москва и область","Широкая; все устройства","388","03.08.2026-01.09.2026","Коммерческое","Смешанный","/","Проверить","Сильная общая формулировка, но без B2B-квалификации","https://wordstat.yandex.ru/?region=1&view=table&words=3д%20печать%20на%20заказ",""
"GEN-004","Общая 3D-печать","3д печать пластиком на заказ","Wordstat вложенная фраза","Москва и область","Широкая; все устройства","119","03.08.2026-01.09.2026","Коммерческое","Смешанный","/","Проверить","Соответствует технологии, но не задаче клиента","https://wordstat.yandex.ru/?region=1&view=table&words=3д%20печать%20на%20заказ",""
"GEN-005","Общая 3D-печать","3д печать в москве на заказ пластик","Wordstat вложенная фраза","Москва и область","Широкая; все устройства","92","03.08.2026-01.09.2026","Коммерческое","Смешанный","/","Включить предварительно","Регион и материал совпадают, нужен B2B-фильтр","https://wordstat.yandex.ru/?region=1&view=table&words=3д%20печать%20на%20заказ",""
"GEN-006","Цена","3д печать на заказ цена","Wordstat вложенная фраза","Москва и область","Широкая; все устройства","48","03.08.2026-01.09.2026","Цена","Смешанный","/","Резерв","Сайт не строит калькулятор по граммам; нужна страница с правилами расчёта, не фиктивная цена","https://wordstat.yandex.ru/?region=1&view=table&words=3д%20печать%20на%20заказ",""
"DET-001","Деталь по образцу","3д печать деталей по образцу","Wordstat seed","Москва и область","Широкая; все устройства","0","03.08.2026-03.09.2026","Коммерческое","Смешанный","/detal-po-obraztsu","Сохранить ноль","Подтверждённый ноль не удаляется; проверить соседние формулировки","https://wordstat.yandex.ru/?region=1&view=table&words=3д%20печать%20деталей%20по%20образцу",""
"DET-002","Деталь по образцу","изготовление пластиковых деталей по образцу","Wordstat seed","Москва и область","Широкая; все устройства","8","03.08.2026-01.09.2026","Коммерческое","B2B/смешанный","/detal-po-obraztsu","Включить предварительно","Точно соответствует роли страницы; SERP показывает отдельное намерение","https://wordstat.yandex.ru/?region=1&view=table&words=изготовление%20пластиковых%20деталей%20по%20образцу",""
"DET-003","Пластиковые детали","изготовление пластиковых деталей на заказ","Wordstat seed","Москва и область","Широкая; все устройства","39","03.08.2026-01.09.2026","Коммерческое","B2B/смешанный","/detal-po-obraztsu","Включить предварительно","Близко предложению; выдача смешивает 3D-печать, ЧПУ и литьё","https://wordstat.yandex.ru/?region=1&view=table&words=изготовление%20пластиковых%20деталей%20на%20заказ","Нужно объяснять границы применимости 3D-печати"
"DET-004","Пластиковые детали","изготовление пластиковых деталей на заказ в москве","Wordstat вложенная фраза","Москва и область","Широкая; все устройства","11","03.08.2026-01.09.2026","Коммерческое региональное","B2B/смешанный","/detal-po-obraztsu","Включить предварительно","Совпадает с регионом и коммерческим намерением","https://wordstat.yandex.ru/?region=1&view=table&words=изготовление%20пластиковых%20деталей%20на%20заказ","Географию исполнения ещё подтвердить"
"DET-005","Пластиковые детали","пластиковые детали на заказ","Wordstat seed","Москва и область","Широкая; все устройства","73","03.08.2026-01.09.2026","Коммерческое","Смешанный","/detal-po-obraztsu","Проверить","Формулировка широкая и может включать другие технологии","https://wordstat.yandex.ru/?region=1&view=table&words=пластиковые%20детали%20на%20заказ","В интерфейсе верхняя строка нормализована как «заказы на пластиковые детали»"
"DET-006","Автодетали","изготовление пластиковых деталей на заказ для авто","Wordstat вложенная фраза","Москва и область","Широкая; все устройства","6","03.08.2026-01.09.2026","Коммерческое","B2C/смешанный","","Исключить","Автомобильные детали входят в критичный стоп-лист без отдельной квалификации","https://wordstat.yandex.ru/?region=1&view=table&words=изготовление%20пластиковых%20деталей%20на%20заказ",""
