ID запроса,Запрос,Кластер,Основной или дополнительный,Намерение,Тип клиента,Частотность,Регион,Целевая страница,Приоритет,Дата решения,Основание,Комментарий
"GEN-002","3д печать на заказ в москве","Общая B2B 3D-печать","Основной кандидат","Коммерческое","Смешанный с B2B-фильтром","328","Москва и область","/","Высокий для проверки","2026-09-04","Wordstat и Яндекс SERP","Не обещать любую сложность или цену за грамм"
"GEN-003","печать на 3д принтере на заказ","Общая B2B 3D-печать","Дополнительный","Коммерческое","Смешанный","388","Москва и область","/","Средний","2026-09-04","Wordstat","Требует B2B-квалификации"
"GEN-005","3д печать в москве на заказ пластик","Общая B2B 3D-печать","Дополнительный","Коммерческое","Смешанный","92","Москва и область","/","Средний","2026-09-04","Wordstat",""
"DET-002","изготовление пластиковых деталей по образцу","Детали по образцу","Основной кандидат","Коммерческое","B2B/смешанный","8","Москва и область","/detal-po-obraztsu","Высокий по качеству задачи","2026-09-04","Wordstat и отдельный тип страницы в SERP","Низкая частотность допустима для квалифицированной задачи"
"DET-003","изготовление пластиковых деталей на заказ","Детали по образцу","Дополнительный кандидат","Коммерческое","B2B/смешанный","39","Москва и область","/detal-po-obraztsu","Высокий для проверки","2026-09-04","Wordstat и SERP","Нужно отделить литьё и ЧПУ"
"DET-004","изготовление пластиковых деталей на заказ в москве","Детали по образцу","Дополнительный","Коммерческое региональное","B2B/смешанный","11","Москва и область","/detal-po-obraztsu","Высокий по релевантности","2026-09-04","Wordstat","Географию исполнения подтвердить до публичной правки"
"COR-002","изготовление корпусов для электроники","Корпуса электроники","Основной кандидат","Коммерческое","B2B","8","Москва и область","/korpusa-dlya-elektroniki","Высокий по качеству задачи","2026-09-04","Wordstat и самостоятельная SERP",""
"COR-001","корпус для электроники на заказ","Корпуса электроники","Дополнительный","Коммерческое","B2B","2","Москва и область","/korpusa-dlya-elektroniki","Средний","2026-09-04","Wordstat и SERP",""
"COR-003","пластиковый корпус на заказ","Корпуса электроники","Дополнительный кандидат","Коммерческое","B2B/смешанный","23","Москва и область","/korpusa-dlya-elektroniki","Средний","2026-09-04","Wordstat","Требует проверки, что намерение связано с электроникой/приборами"
"OSN-002","3д печать оснастки","Пластиковая оснастка под операцию","Основной кандидат","Смешанное","B2B/информационный","4","Москва и область","/osnastka-i-konduktory","Средний по качеству задачи","2026-09-04","Wordstat","Нужны формулировки по фиксаторам, держателям и шаблонам"
"OSN-003","изготовление технологической оснастки","Пластиковая оснастка под операцию","Исключён как основной","Коммерческое","B2B","36","Москва и область","/osnastka-i-konduktory","Низкий/резерв","2026-09-04","SERP доминирует металлообработка","Не расширять обещание до общей промышленной оснастки"
"OSN-004","изготовление кондукторов","Пластиковая оснастка под операцию","Исключён как основной","Смешанное","Смешанный","180","Москва и область","/osnastka-i-konduktory","Низкий/резерв","2026-09-04","Wordstat доминируют мебельные запросы","Широкую частотность не использовать в прогнозах"
