"Метрика","Значение","Единица","Статус","Регион","Устройство","Период или дата","Источник","Комментарий"
"Публичные URL в sitemap","9","URL","Подтверждено","не применимо","не применимо","2026-09-04","Публичный sitemap и HTTP-проверка","Все URL без завершающего слеша отвечают 200"
"Публичные URL с завершающим слешем","8","URL с ошибкой 404","Подтверждено","не применимо","не применимо","2026-09-04","HTTP-проверка","Корневая страница не учитывается"
"Страницы с одним H1","9","страниц","Подтверждено","не применимо","desktop HTML","2026-09-04","Публичный HTML","Проверен первый срез"
"Страницы с canonical","9","страниц","Подтверждено","не применимо","desktop HTML","2026-09-04","Публичный HTML","Canonical ведёт на GitHub Pages staging"
"Страницы с JSON-LD","1","страница","Подтверждено","не применимо","desktop HTML","2026-09-04","Публичный HTML","Разметка обнаружена на главной"
"Индексируемость staging","0","разрешённых URL","Подтверждено","не применимо","не применимо","2026-09-04","robots.txt","User-agent: * и Disallow: /"
"Wordstat: 3д печать на заказ","1305","показов запроса","Подтверждено","Москва и область","все устройства","03.08.2026–01.09.2026","Яндекс Wordstat","Широкое значение, не равно квалифицированному B2B-спросу"
"Wordstat: 3д печать на заказ в москве","328","показов запроса","Подтверждено","Москва и область","все устройства","03.08.2026–01.09.2026","Яндекс Wordstat","Вложенный региональный запрос"
"Wordstat: изготовление пластиковых деталей на заказ","39","показов запроса","Подтверждено","Москва и область","все устройства","03.08.2026–01.09.2026","Яндекс Wordstat","Ближе к текущему B2B-предложению"
"Wordstat: изготовление пластиковых деталей по образцу","8","показов запроса","Подтверждено","Москва и область","все устройства","03.08.2026–01.09.2026","Яндекс Wordstat","Точное намерение страницы детали по образцу"
"Wordstat: изготовление корпусов для электроники","8","показов запроса","Подтверждено","Москва и область","все устройства","03.08.2026–01.09.2026","Яндекс Wordstat","Точное намерение корпусной страницы"
"Wordstat: изготовление технологической оснастки","36","показов запроса","Подтверждено","Москва и область","все устройства","03.08.2026–01.09.2026","Яндекс Wordstat","SERP в основном про металл и крупное производство"
"Яндекс SERP запросы","5","запросов","Подтверждено","Москва и область","desktop","2026-09-04","Яндекс поиск","Разовый срез; не мониторинг позиций"
"AIsa расход текущего аудита","0.064","USD","Подтверждено","Россия; без строгой региональности Tavily","не применимо","2026-09-04","AIsa balance и журнал вызовов","Старт 5.488 USD; остаток 5.424 USD"
"AIsa лимит владельца","4.50","USD","Решение владельца","не применимо","не применимо","2026-09-04","Сообщение владельца","Рабочая остановка запланирована на 4.25 USD"
"Яндекс Метрика","не настроено","статус","Не доступно","Москва и область","все устройства","2026-09-04","Код проекта","Нет ID и production-данных"
"Яндекс Вебмастер","не доступно","статус","Не проверено","Москва и область","все устройства","2026-09-04","Нет предоставленного доступа","Не считать отсутствием показов"
"Google Search Console","не доступно","статус","Не проверено","Москва и область","все устройства","2026-09-04","Нет предоставленного доступа","Не считать отсутствием показов"
